Date,Username,User tag,Content,Mentions,link
"2024-12-03,10:54:09",jj700physics,#0,"Good morning. I wanted to ask about the antiviral-admet-2025. I read the blog post and competition details, but I could not find any info on how the data is curated? By any chance, do you have info on this? I just want to decide if I need to find more data for this competition. Thanks",,
"2024-12-03,12:54:16",cwognum,#0,"Hi <@533263458486190081> , the data was consistently generated for ASAP through institutions like the Weizmann Institute, the University of Oxford, and industry standard CROs. We thus didn't have to do much curation. 

For the ML-ready datasets that will be made available through the Polaris API, we did the following: 
- For potency and ADMET, filter out any data points for which the modifier was not ""=""
- For poses, we prepared the structural data using Spruce (https://www.eyesopen.com/spruce) and aligned them with a reference Mpro, with CONECT records

See the sample datasets, for example: 
- https://polarishub.io/datasets/asap-discovery/antiviral-potency-2025-sample
- https://polarishub.io/datasets/asap-discovery/antiviral-ligand-poses-2025-sample
- https://polarishub.io/datasets/asap-discovery/antiviral-admet-2025-sample

You're free to use any extra data (and we recommend it!). We're curious to see if anyone could've done better than we did, and we had access to other public data as well.",jj700physics#0,
"2024-12-03,15:46:24",jj700physics,#0,Thank you,cwognum#0,
"2024-12-08,13:55:06",octonoodle,#0,Regarding the competition...could we use small peptides that can be synthesized in using small molecule synthesis techniques?,,
"2024-12-08,16:08:43",itstreasonthen.,#0,"<@973225263649411122> the idea is not to design new binders, but rather to predict binding on known binders. I.E given a small molecule SMILES, predict how well it binds.",octonoodle#0,
"2024-12-08,16:41:14",octonoodle,#0,Yikes...much harder 😅,itstreasonthen.#0,
"2024-12-08,16:43:55",octonoodle,#0,"Hmm...actually...probably won't have time to do it myself, but GraphCG may be a good way to go here (learn the latent space direction for affinity).",,
"2025-01-03,17:19:23",brodadaniel,#0,Do you mind looking at the dataset API i keep getting this error AttributeError: 'NoneType' object has no attribute 'is_expired',,
"2025-01-03,18:48:44",cwognum,#0,"Hey <@786262128612999228> thanks for reaching out. Would you mind filing a bug report on Github? That will prompt you to fill out some additional information which will help the team investigate! 

You can file a bug report here: https://github.com/polaris-hub/polaris/issues",brodadaniel#0,
"2025-01-09,03:20:55",sladem.,#0,Did you login to Polaris ? I saw a similar message when trying to load data before logging in. .,brodadaniel#0,
"2025-01-09,12:56:57",brodadaniel,#0,Yes,,
"2025-01-09,22:28:20",sladem.,#0,OK. Sorry. you probably know more about it than I do! I'm only using Colab with it so far.,brodadaniel#0,
"2025-01-10,07:08:07",cwognum,#0,Hey <@786262128612999228> - Just a friendly reminder that opening an issue is to best way to get help quickly! There’s a number of reasons that could cause your issue and to fix it we need a bit more info!,brodadaniel#0,
"2025-01-10,07:22:06",brodadaniel,#0,Ok I will do that today thanks,,
"2025-01-11,14:40:20",brodadaniel,#0,issue got resolved thanks,cwognum#0,
"2025-01-13,00:03:13",sagore26_13515,#0,"Hello everyone, I would like to participate in Ligand ADMET challenge, could you please let me know how to register as a participant? Thank you.",,
"2025-01-13,09:46:50",cwognum,#0,"Hi! No need to register. As long as you have a Polaris account, you can submit your predictions through our Python API! 🧑‍💻 

See https://polarishub.io/competitions for the competition details and https://github.com/asapdiscovery/asap-polaris-blind-challenge-examples for some code examples to get started.",sagore26_13515#0,
"2025-01-13,12:52:50",sagore26_13515,#0,"Great, Thank you! I will take a look at the competitions page and code.",cwognum#0,
"2025-01-13,15:20:07",itstreasonthen.,#0,"Hi all, introducing <@1328384613554585613> and myself <@377331431246004225>! We are part of the ASAPDiscovery team behind the competition in collaboration with the wonderful <@&1209587005701357568> folks. We will be able to answer any of your questions here and will also be organising some office hours where you can ask some questions face to face. Watch this space.",itstreasonthen.#0、jenkescheen.#0,
"2025-01-13,17:13:25",jj700physics,#0,"that's wonderful, thanks. That will be awesome",itstreasonthen.#0,
"2025-01-13,22:58:16",luispintoc,#0,"Hi all, I get the following error:

HTTPStatusError: Client error '404 Not Found' for url 'https://polarishub.io/api/v2/competition/asap-discovery/antiviral-ligand-poses-2025'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404

The above exception was the direct cause of the following exception:

PolarisRetrieveArtifactError              Traceback (most recent call last)
Cell In[12], line 2
      1 competition_id = ""asap-discovery/antiviral-ligand-poses-2025""
----> 2 competition = po.load_competition(competition_id)

am I the only one?",,
"2025-01-14,07:13:59",cwognum,#0,"Hi, sorry you’re running into this and thanks for reporting.

The fastest way to get help is by opening a Github issue here: https://github.com/polaris-hub/polaris/issues This will prompt you to specify some additional information that helps us investigate.

I can’t say for sure based on what you shared, but I suspect it’s because of your Polaris version. Can you confirm you’re on 0.11.0?",luispintoc#0,
"2025-01-14,10:26:29",luispintoc,#0,Thanks! I was using the 0.8 version,,
"2025-01-14,16:19:42",muismail90,#0,"Hi everyone, I get this message when trying to login through the API, Am I missing something?",,https://cdn.discordapp.com/attachments/1311539940797972581/1328835966240292925/image.png?ex=680a022e&is=6808b0ae&hm=4984ab51783f53503385bf78263b44955a329db8b193ed8e9c499d53d7d349dc&
"2025-01-14,16:26:28",cwognum,#0,"Hi! From the screenshot it seems that you're signing in to a dev environment rather than prod (we e.g. don't support Google SSO on prod). Can you confirm the URL you're at? 

The dev environment uses an allowlist, which is why you can't create an account.

I'm not sure how you ended up in a dev environment. That shouldn't happen! Where did you find the link? 😅",muismail90#0,
"2025-01-14,16:29:52",muismail90,#0,"Thanks, Cas, for your reply. This is the command I used, and the link appears in the screenshot",,https://cdn.discordapp.com/attachments/1311539940797972581/1328838524786708551/image.png?ex=680a0490&is=6808b310&hm=9d41886aef21fe20eafc480e0d2a14d5b69ad418cbdd80c830c987227ae84008&
"2025-01-14,16:30:28",muismail90,#0,I installed polaris using pip into the environment opencadd,,
"2025-01-14,16:32:22",cwognum,#0,"Oh, I think I get it. What's the Polaris version? 

```py
import polaris as po
print(po.__version__)
```",,
"2025-01-14,16:33:22",muismail90,#0,dev,,
"2025-01-14,16:34:36",muismail90,#0,You are right. I'm in the dev mode. Idk how this happened.,,
